Order_no,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
1,536365,85123,WHITE HANGING HEART TLIGHT HOLDER,6,12-06-10 16:57,255,17850,United Kingdom
2,536365,71053,WHITE METAL LANTERN,6,13-06-10 16:57,339,17850,United Kingdom
3,536365,84406,CREAM CUPID HEARTS COAT HANGER,8,14-06-10 16:57,275,17850,United Kingdom
4,536365,84029,KNITTED UNION FLAG HOT WATER BOTTLE,6,15-06-10 16:57,339,178500,United Kingdom
5,536365,84029,RED WOOLLY HOTTIE WHITE HEART,6,16-06-10 16:57,339,17850,United Kingdom
6,536365,22752,SET 7 BABUSHKA NESTING BOXES,2,17-06-10 16:57,765,17850,United Kingdom
7,536365,21730,GLASS STAR FROSTED TLIGHT HOLDER,6,18-06-10 16:57,425,17850,United Kingdom
8,536366,22633,HAND WARMER UNION JACK,6,19-06-10 16:57,185,17850,United Kingdom
9,536366,22632,HAND WARMER RED POLKA DOT,6,20-06-10 16:57,185,17850,United Kingdom
10,536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,21-06-10 16:57,169,13047,United Kingdom
11,536367,22745,POPPYS PLAYHOUSE BEDROOM ,6,22-06-10 16:57,21,13047,United Kingdom
